"phrase","translation_hy","translation_ru","category","level","example_en"
"keep fit","առողջ մնալ, մարզվել","поддерживать форму","collocation","A2","I run to keep fit."
"catch a bus","ավտոբուսին հասնել","успеть на автобус","collocation","A2","Hurry or we will not catch the bus."
"miss the bus","ավտոբուսից ուշանալ","опоздать на автобус","collocation","A1","I missed the bus."
"tell a joke","կատակ պատմել","рассказать шутку","collocation","A2","He told a joke in English."
"tell a story","պատմություն պատմել","рассказать историю","collocation","A1","Grandma told a story."
"keep a diary","օրագիր պահել","вести дневник","collocation","A2","Keep a diary in English."
"make friends","ընկերանալ","заводить друзей","collocation","A1","It is easy to make friends here."
"do business","բիզնես անել","вести дела","collocation","B1","They do business with Europe."
"have fun","զվարճանալ","веселиться","collocation","A1","Have fun at the party!"
"take care","զգույշ լինել, հոգալ","береги себя","collocation","A1","Take care on the way home."
"give advice","խորհուրդ տալ","давать совет","collocation","A2","Can you give me some advice?"
"take advice","խորհուրդ ընդունել","прислушиваться к совету","collocation","B1","You should take her advice."
"make an effort","ջանք գործադրել","приложить усилие","collocation","B1","Make an effort to speak every day."
"do a favour","ծառայություն մատուցել","оказать услугу","collocation","B1","Could you do me a favour?"
"have a look","նայել","взглянуть","collocation","A1","Have a look at this sentence."
"keep quiet","լռել","молчать","collocation","A2","Keep quiet during the test."
"take place","տեղի ունենալ","происходить","collocation","B1","The concert takes place on Friday."
"make sense","տրամաբանական լինել","иметь смысл","collocation","A2","This explanation makes sense."
"lose your temper","բարկանալ","выйти из себя","collocation","B1","Try not to lose your temper."
"keep calm","հանգիստ մնալ","сохранять спокойствие","collocation","A2","Keep calm and read the question again."
"heavy traffic","խիտ երթևեկություն","сильные пробки","collocation","A2","There is heavy traffic in the morning."
"high salary","բարձր աշխատավարձ","высокая зарплата","collocation","B1","The job has a high salary."
"deep sleep","խոր քուն","крепкий сон","collocation","A2","I fell into a deep sleep."
"bright future","պայծառ ապագա","светлое будущее","collocation","B1","She has a bright future in languages."
"close friend","մտերիմ ընկեր","близкий друг","collocation","A2","Anna is my close friend."
"strong accent","ուժեղ առոգանություն","сильный акцент","collocation","B1","He speaks with a strong accent."
"wide range","լայն ընտրանի","широкий диапазон","collocation","B1","The app has a wide range of words."
"great deal","մեծ քանակ, լավ գործարք","множество, выгодная сделка","collocation","B1","We learned a great deal today."
"common sense","առողջ բանականություն","здравый смысл","collocation","B1","Use common sense in the exam."
"hard work","ծանր աշխատանք","тяжёлый труд","collocation","A2","Success needs hard work."
"as soon as possible","հնարավորինս շուտ","как можно скорее","collocation","A2","Send it as soon as possible."
"by the way","ի դեպ","кстати","collocation","A2","By the way, how is your English?"
"in fact","իրականում","на самом деле","collocation","A2","In fact, I already knew that word."
"at least","գոնե","по крайней мере","collocation","A2","Learn at least ten words a day."
"at most","առավելագույնը","самое большее","collocation","B1","It will take two hours at most."
"for example","օրինակ","например","collocation","A1","Use new words, for example in a diary."
"in other words","այլ կերպ ասած","другими словами","collocation","B1","In other words, keep practising."
"on the other hand","մյուս կողմից","с другой стороны","collocation","B1","It is hard. On the other hand, it is useful."
"as a result","արդյունքում","в результате","collocation","B1","As a result, her level went up."
"in order to","որպեսզի","для того чтобы","collocation","B1","I study in order to travel."
"used to","նախկինում սովորություն","раньше обычно","collocation","A2","I used to be afraid of speaking."
"be supposed to","պետք է, ենթադրվում է","предполагается","collocation","B1","You are supposed to mark known words."
"would rather","նախընտրել","предпочитал бы","collocation","B1","I would rather practise speaking."
"had better","ավելի լավ կլինի","лучше бы","collocation","B1","You had better review A1 first."
"not at all","բոլորովին ոչ","нисколько","collocation","A2","Was it difficult? Not at all."
"of course","անշուշտ","конечно","collocation","A1","Of course you can ask questions."
"as usual","սովորության պես","как обычно","collocation","A2","He was late as usual."
"sooner or later","վաղ թե ուշ"," рано или поздно","idiom","A2","Sooner or later you will need this word."
"now and then","երբեմն","время от времени","idiom","B1","I watch films in English now and then."
"little by little","քիչ-քիչ","мало-помалу","idiom","A2","Little by little, grammar becomes clear."
"as far as I know","ինչպես գիտեմ","насколько я знаю","collocation","B1","As far as I know, this word is A2."
"as far as I am concerned","ինձ համար","что касается меня","collocation","B2","As far as I am concerned, daily practice wins."
"to tell you the truth","ճշմարտությունն ասած","по правде говоря","collocation","B1","To tell you the truth, I forgot the word."
"to be honest","անկեղծ ասած","честно говоря","collocation","A2","To be honest, phrasal verbs are hard."
"in my opinion","իմ կարծիքով","по моему мнению","collocation","A2","In my opinion, marking words helps memory."
"from my point of view","իմ տեսանկյունից","с моей точки зрения","collocation","B1","From my point of view, A1 should come first."
"on purpose","միտումնավոր","нарочно","collocation","A2","I did not do it on purpose."
"by accident","պատահաբար","случайно","collocation","A2","I deleted the note by accident."
"in a hurry","շտապելով","в спешке","collocation","A2","I left in a hurry."
"in advance","նախօրոք","заранее","collocation","B1","Book the exam in advance."
"at once","անմիջապես","сразу","collocation","B1","Come here at once."
"at times","երբեմն","временами","collocation","B1","At times English spelling is strange."
"for good","մշտապես","навсегда","idiom","B2","She moved to Yerevan for good."
"for sure","անշուշտ","наверняка","collocation","A2","I will come for sure."
"in public","հրապարակավ","на людях","collocation","B1","Speaking in public takes practice."
"in private","անձամբ, առանձին","наедине","collocation","B1","Let’s talk in private."
"on time","ժամանակին","вовремя","collocation","A1","Please arrive on time."
"in time","հասցնել ժամանակին","успеть вовремя","collocation","A2","We got there in time."
"out of date","հնացած","устаревший","collocation","B1","This textbook is out of date."
"up to date","արդիական","актуальный","collocation","B1","Keep your notes up to date."
"ask about","հարցնել (about)","спрашивать (about)","phrasal_verb","B1","Learners should notice how ""ask about"" changes meaning in context."
"ask across","հարցնել (across)","спрашивать (across)","phrasal_verb","B1","Learners should notice how ""ask across"" changes meaning in context."
"ask after","հարցնել (after)","спрашивать (after)","phrasal_verb","B1","Learners should notice how ""ask after"" changes meaning in context."
"ask along","հարցնել (along)","спрашивать (along)","phrasal_verb","B1","Learners should notice how ""ask along"" changes meaning in context."
"ask apart","հարցնել (apart)","спрашивать (apart)","phrasal_verb","B1","Learners should notice how ""ask apart"" changes meaning in context."
"ask aside","հարցնել (aside)","спрашивать (aside)","phrasal_verb","B1","Learners should notice how ""ask aside"" changes meaning in context."
"ask away","հարցնել (հեռու, դեն նետել)","спрашивать (прочь)","phrasal_verb","B1","Learners should notice how ""ask away"" changes meaning in context."
"ask back","հարցնել (ետ, պատասխանել)","спрашивать (назад)","phrasal_verb","B1","Learners should notice how ""ask back"" changes meaning in context."
"ask by","հարցնել (by)","спрашивать (by)","phrasal_verb","B1","Learners should notice how ""ask by"" changes meaning in context."
"ask down","հարցնել (ներքև, գրի առնել)","спрашивать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""ask down"" changes meaning in context."
"ask for","հարցնել (for)","спрашивать (for)","phrasal_verb","B1","Learners should notice how ""ask for"" changes meaning in context."
"ask forward","հարցնել (forward)","спрашивать (forward)","phrasal_verb","B1","Learners should notice how ""ask forward"" changes meaning in context."
"ask in","հարցնել (ներս, հանձնել)","спрашивать (внутрь)","phrasal_verb","B1","Learners should notice how ""ask in"" changes meaning in context."
"ask off","հարցնել (անց, անջատել)","спрашивать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""ask off"" changes meaning in context."
"ask on","հարցնել (շարունակ, միացնել)","спрашивать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""ask on"" changes meaning in context."
"ask out","հարցնել (դուրս, ամբողջությամբ)","спрашивать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""ask out"" changes meaning in context."
"ask over","հարցնել (վրայով, վերանայել)","спрашивать (через, заново)","phrasal_verb","B1","Learners should notice how ""ask over"" changes meaning in context."
"ask through","հարցնել (մինչև վերջ)","спрашивать (насквозь)","phrasal_verb","B1","Learners should notice how ""ask through"" changes meaning in context."
"ask together","հարցնել (together)","спрашивать (together)","phrasal_verb","B1","Learners should notice how ""ask together"" changes meaning in context."
"ask under","հարցնել (under)","спрашивать (under)","phrasal_verb","B1","Learners should notice how ""ask under"" changes meaning in context."
"ask up","հարցնել (վեր, ավարտել, ավելացնել)","спрашивать (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""ask up"" changes meaning in context."
"blow about","փչել (about)","дуть (about)","phrasal_verb","B1","Learners should notice how ""blow about"" changes meaning in context."
"blow across","փչել (across)","дуть (across)","phrasal_verb","B1","Learners should notice how ""blow across"" changes meaning in context."
"blow after","փչել (after)","дуть (after)","phrasal_verb","B1","Learners should notice how ""blow after"" changes meaning in context."
"blow along","փչել (along)","дуть (along)","phrasal_verb","B1","Learners should notice how ""blow along"" changes meaning in context."
"blow apart","փչել (apart)","дуть (apart)","phrasal_verb","B1","Learners should notice how ""blow apart"" changes meaning in context."
"blow around","փչել (around)","дуть (around)","phrasal_verb","B1","Learners should notice how ""blow around"" changes meaning in context."
"blow aside","փչել (aside)","дуть (aside)","phrasal_verb","B1","Learners should notice how ""blow aside"" changes meaning in context."
"blow away","փչել (հեռու, դեն նետել)","дуть (прочь)","phrasal_verb","B1","Learners should notice how ""blow away"" changes meaning in context."
"blow back","փչել (ետ, պատասխանել)","дуть (назад)","phrasal_verb","B1","Learners should notice how ""blow back"" changes meaning in context."
"blow by","փչել (by)","дуть (by)","phrasal_verb","B1","Learners should notice how ""blow by"" changes meaning in context."
"blow down","փչել (ներքև, գրի առնել)","дуть (вниз, записать)","phrasal_verb","B1","Learners should notice how ""blow down"" changes meaning in context."
"blow for","փչել (for)","дуть (for)","phrasal_verb","B1","Learners should notice how ""blow for"" changes meaning in context."
"blow forward","փչել (forward)","дуть (forward)","phrasal_verb","B1","Learners should notice how ""blow forward"" changes meaning in context."
"blow in","փչել (ներս, հանձնել)","дуть (внутрь)","phrasal_verb","B1","Learners should notice how ""blow in"" changes meaning in context."
"blow off","փչել (անց, անջատել)","дуть (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""blow off"" changes meaning in context."
"blow on","փչել (շարունակ, միացնել)","дуть (дальше, включить)","phrasal_verb","B1","Learners should notice how ""blow on"" changes meaning in context."
"blow out","փչել (դուրս, ամբողջությամբ)","дуть (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""blow out"" changes meaning in context."
"blow over","փչել (վրայով, վերանայել)","дуть (через, заново)","phrasal_verb","B1","Learners should notice how ""blow over"" changes meaning in context."
"blow through","փչել (մինչև վերջ)","дуть (насквозь)","phrasal_verb","B1","Learners should notice how ""blow through"" changes meaning in context."
"blow together","փչել (together)","дуть (together)","phrasal_verb","B1","Learners should notice how ""blow together"" changes meaning in context."
"blow under","փչել (under)","дуть (under)","phrasal_verb","B1","Learners should notice how ""blow under"" changes meaning in context."
"break about","կոտրել (about)","ломать (about)","phrasal_verb","B1","Learners should notice how ""break about"" changes meaning in context."
"break across","կոտրել (across)","ломать (across)","phrasal_verb","B1","Learners should notice how ""break across"" changes meaning in context."
"break after","կոտրել (after)","ломать (after)","phrasal_verb","B1","Learners should notice how ""break after"" changes meaning in context."
"break along","կոտրել (along)","ломать (along)","phrasal_verb","B1","Learners should notice how ""break along"" changes meaning in context."
"break apart","կոտրել (apart)","ломать (apart)","phrasal_verb","B1","Learners should notice how ""break apart"" changes meaning in context."
"break around","կոտրել (around)","ломать (around)","phrasal_verb","B1","Learners should notice how ""break around"" changes meaning in context."
"break aside","կոտրել (aside)","ломать (aside)","phrasal_verb","B1","Learners should notice how ""break aside"" changes meaning in context."
"break away","կոտրել (հեռու, դեն նետել)","ломать (прочь)","phrasal_verb","B1","Learners should notice how ""break away"" changes meaning in context."
"break back","կոտրել (ետ, պատասխանել)","ломать (назад)","phrasal_verb","B1","Learners should notice how ""break back"" changes meaning in context."
"break by","կոտրել (by)","ломать (by)","phrasal_verb","B1","Learners should notice how ""break by"" changes meaning in context."
"break for","կոտրել (for)","ломать (for)","phrasal_verb","B1","Learners should notice how ""break for"" changes meaning in context."
"break forward","կոտրել (forward)","ломать (forward)","phrasal_verb","B1","Learners should notice how ""break forward"" changes meaning in context."
"break off","կոտրել (անց, անջատել)","ломать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""break off"" changes meaning in context."
"break on","կոտրել (շարունակ, միացնել)","ломать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""break on"" changes meaning in context."
"break over","կոտրել (վրայով, վերանայել)","ломать (через, заново)","phrasal_verb","B1","Learners should notice how ""break over"" changes meaning in context."
"break through","կոտրել (մինչև վերջ)","ломать (насквозь)","phrasal_verb","B1","Learners should notice how ""break through"" changes meaning in context."
"break together","կոտրել (together)","ломать (together)","phrasal_verb","B1","Learners should notice how ""break together"" changes meaning in context."
"break under","կոտրել (under)","ломать (under)","phrasal_verb","B1","Learners should notice how ""break under"" changes meaning in context."
"bring across","բերել (across)","приносить (across)","phrasal_verb","B1","Learners should notice how ""bring across"" changes meaning in context."
"bring after","բերել (after)","приносить (after)","phrasal_verb","B1","Learners should notice how ""bring after"" changes meaning in context."
"bring along","բերել (along)","приносить (along)","phrasal_verb","B1","Learners should notice how ""bring along"" changes meaning in context."
"bring apart","բերել (apart)","приносить (apart)","phrasal_verb","B1","Learners should notice how ""bring apart"" changes meaning in context."
"bring around","բերել (around)","приносить (around)","phrasal_verb","B1","Learners should notice how ""bring around"" changes meaning in context."
"bring aside","բերել (aside)","приносить (aside)","phrasal_verb","B1","Learners should notice how ""bring aside"" changes meaning in context."
"bring away","բերել (հեռու, դեն նետել)","приносить (прочь)","phrasal_verb","B1","Learners should notice how ""bring away"" changes meaning in context."
"bring by","բերել (by)","приносить (by)","phrasal_verb","B1","Learners should notice how ""bring by"" changes meaning in context."
"bring down","բերել (ներքև, գրի առնել)","приносить (вниз, записать)","phrasal_verb","B1","Learners should notice how ""bring down"" changes meaning in context."
"bring for","բերել (for)","приносить (for)","phrasal_verb","B1","Learners should notice how ""bring for"" changes meaning in context."
"bring forward","բերել (forward)","приносить (forward)","phrasal_verb","B1","Learners should notice how ""bring forward"" changes meaning in context."
"bring in","բերել (ներս, հանձնել)","приносить (внутрь)","phrasal_verb","B1","Learners should notice how ""bring in"" changes meaning in context."
"bring off","բերել (անց, անջատել)","приносить (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""bring off"" changes meaning in context."
"bring on","բերել (շարունակ, միացնել)","приносить (дальше, включить)","phrasal_verb","B1","Learners should notice how ""bring on"" changes meaning in context."
"bring out","բերել (դուրս, ամբողջությամբ)","приносить (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""bring out"" changes meaning in context."
"bring over","բերել (վրայով, վերանայել)","приносить (через, заново)","phrasal_verb","B1","Learners should notice how ""bring over"" changes meaning in context."
"bring through","բերել (մինչև վերջ)","приносить (насквозь)","phrasal_verb","B1","Learners should notice how ""bring through"" changes meaning in context."
"bring together","բերել (together)","приносить (together)","phrasal_verb","B1","Learners should notice how ""bring together"" changes meaning in context."
"bring under","բերել (under)","приносить (under)","phrasal_verb","B1","Learners should notice how ""bring under"" changes meaning in context."
"call about","զանգել (about)","звонить (about)","phrasal_verb","B1","Learners should notice how ""call about"" changes meaning in context."
"call across","զանգել (across)","звонить (across)","phrasal_verb","B1","Learners should notice how ""call across"" changes meaning in context."
"call after","զանգել (after)","звонить (after)","phrasal_verb","B1","Learners should notice how ""call after"" changes meaning in context."
"call along","զանգել (along)","звонить (along)","phrasal_verb","B1","Learners should notice how ""call along"" changes meaning in context."
"call apart","զանգել (apart)","звонить (apart)","phrasal_verb","B1","Learners should notice how ""call apart"" changes meaning in context."
"call around","զանգել (around)","звонить (around)","phrasal_verb","B1","Learners should notice how ""call around"" changes meaning in context."
"call aside","զանգել (aside)","звонить (aside)","phrasal_verb","B1","Learners should notice how ""call aside"" changes meaning in context."
"call away","զանգել (հեռու, դեն նետել)","звонить (прочь)","phrasal_verb","B1","Learners should notice how ""call away"" changes meaning in context."
"call back","զանգել (ետ, պատասխանել)","звонить (назад)","phrasal_verb","B1","Learners should notice how ""call back"" changes meaning in context."
"call by","զանգել (by)","звонить (by)","phrasal_verb","B1","Learners should notice how ""call by"" changes meaning in context."
"call down","զանգել (ներքև, գրի առնել)","звонить (вниз, записать)","phrasal_verb","B1","Learners should notice how ""call down"" changes meaning in context."
"call for","զանգել (for)","звонить (for)","phrasal_verb","B1","Learners should notice how ""call for"" changes meaning in context."
"call forward","զանգել (forward)","звонить (forward)","phrasal_verb","B1","Learners should notice how ""call forward"" changes meaning in context."
"call in","զանգել (ներս, հանձնել)","звонить (внутрь)","phrasal_verb","B1","Learners should notice how ""call in"" changes meaning in context."
"call on","զանգել (շարունակ, միացնել)","звонить (дальше, включить)","phrasal_verb","B1","Learners should notice how ""call on"" changes meaning in context."
"call out","զանգել (դուրս, ամբողջությամբ)","звонить (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""call out"" changes meaning in context."
"call over","զանգել (վրայով, վերանայել)","звонить (через, заново)","phrasal_verb","B1","Learners should notice how ""call over"" changes meaning in context."
"call through","զանգել (մինչև վերջ)","звонить (насквозь)","phrasal_verb","B1","Learners should notice how ""call through"" changes meaning in context."
"call together","զանգել (together)","звонить (together)","phrasal_verb","B1","Learners should notice how ""call together"" changes meaning in context."
"call under","զանգել (under)","звонить (under)","phrasal_verb","B1","Learners should notice how ""call under"" changes meaning in context."
"call up","զանգել (վեր, ավարտել, ավելացնել)","звонить (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""call up"" changes meaning in context."
"carry about","տանել (about)","нести (about)","phrasal_verb","B1","Learners should notice how ""carry about"" changes meaning in context."
"carry across","տանել (across)","нести (across)","phrasal_verb","B1","Learners should notice how ""carry across"" changes meaning in context."
"carry after","տանել (after)","нести (after)","phrasal_verb","B1","Learners should notice how ""carry after"" changes meaning in context."
"carry along","տանել (along)","нести (along)","phrasal_verb","B1","Learners should notice how ""carry along"" changes meaning in context."
"carry apart","տանել (apart)","нести (apart)","phrasal_verb","B1","Learners should notice how ""carry apart"" changes meaning in context."
"carry around","տանել (around)","нести (around)","phrasal_verb","B1","Learners should notice how ""carry around"" changes meaning in context."
"carry aside","տանել (aside)","нести (aside)","phrasal_verb","B1","Learners should notice how ""carry aside"" changes meaning in context."
"carry away","տանել (հեռու, դեն նետել)","нести (прочь)","phrasal_verb","B1","Learners should notice how ""carry away"" changes meaning in context."
"carry back","տանել (ետ, պատասխանել)","нести (назад)","phrasal_verb","B1","Learners should notice how ""carry back"" changes meaning in context."
"carry by","տանել (by)","нести (by)","phrasal_verb","B1","Learners should notice how ""carry by"" changes meaning in context."
"carry down","տանել (ներքև, գրի առնել)","нести (вниз, записать)","phrasal_verb","B1","Learners should notice how ""carry down"" changes meaning in context."
"carry for","տանել (for)","нести (for)","phrasal_verb","B1","Learners should notice how ""carry for"" changes meaning in context."
"carry forward","տանել (forward)","нести (forward)","phrasal_verb","B1","Learners should notice how ""carry forward"" changes meaning in context."
"carry in","տանել (ներս, հանձնել)","нести (внутрь)","phrasal_verb","B1","Learners should notice how ""carry in"" changes meaning in context."
"carry off","տանել (անց, անջատել)","нести (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""carry off"" changes meaning in context."
"carry over","տանել (վրայով, վերանայել)","нести (через, заново)","phrasal_verb","B1","Learners should notice how ""carry over"" changes meaning in context."
"carry through","տանել (մինչև վերջ)","нести (насквозь)","phrasal_verb","B1","Learners should notice how ""carry through"" changes meaning in context."
"carry together","տանել (together)","нести (together)","phrasal_verb","B1","Learners should notice how ""carry together"" changes meaning in context."
"carry under","տանել (under)","нести (under)","phrasal_verb","B1","Learners should notice how ""carry under"" changes meaning in context."
"carry up","տանել (վեր, ավարտել, ավելացնել)","нести (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""carry up"" changes meaning in context."
"come about","գալ (about)","приходить (about)","phrasal_verb","B1","Learners should notice how ""come about"" changes meaning in context."
"come after","գալ (after)","приходить (after)","phrasal_verb","B1","Learners should notice how ""come after"" changes meaning in context."
"come along","գալ (along)","приходить (along)","phrasal_verb","B1","Learners should notice how ""come along"" changes meaning in context."
"come apart","գալ (apart)","приходить (apart)","phrasal_verb","B1","Learners should notice how ""come apart"" changes meaning in context."
"come around","գալ (around)","приходить (around)","phrasal_verb","B1","Learners should notice how ""come around"" changes meaning in context."
"come aside","գալ (aside)","приходить (aside)","phrasal_verb","B1","Learners should notice how ""come aside"" changes meaning in context."
"come away","գալ (հեռու, դեն նետել)","приходить (прочь)","phrasal_verb","B1","Learners should notice how ""come away"" changes meaning in context."
"come by","գալ (by)","приходить (by)","phrasal_verb","B1","Learners should notice how ""come by"" changes meaning in context."
"come down","գալ (ներքև, գրի առնել)","приходить (вниз, записать)","phrasal_verb","B1","Learners should notice how ""come down"" changes meaning in context."
"come for","գալ (for)","приходить (for)","phrasal_verb","B1","Learners should notice how ""come for"" changes meaning in context."
"come forward","գալ (forward)","приходить (forward)","phrasal_verb","B1","Learners should notice how ""come forward"" changes meaning in context."
"come off","գալ (անց, անջատել)","приходить (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""come off"" changes meaning in context."
"come on","գալ (շարունակ, միացնել)","приходить (дальше, включить)","phrasal_verb","B1","Learners should notice how ""come on"" changes meaning in context."
"come out","գալ (դուրս, ամբողջությամբ)","приходить (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""come out"" changes meaning in context."
"come over","գալ (վրայով, վերանայել)","приходить (через, заново)","phrasal_verb","B1","Learners should notice how ""come over"" changes meaning in context."
"come through","գալ (մինչև վերջ)","приходить (насквозь)","phrasal_verb","B1","Learners should notice how ""come through"" changes meaning in context."
"come together","գալ (together)","приходить (together)","phrasal_verb","B1","Learners should notice how ""come together"" changes meaning in context."
"come under","գալ (under)","приходить (under)","phrasal_verb","B1","Learners should notice how ""come under"" changes meaning in context."
"come up","գալ (վեր, ավարտել, ավելացնել)","приходить (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""come up"" changes meaning in context."
"cut about","կտրել (about)","резать (about)","phrasal_verb","B1","Learners should notice how ""cut about"" changes meaning in context."
"cut across","կտրել (across)","резать (across)","phrasal_verb","B1","Learners should notice how ""cut across"" changes meaning in context."
"cut after","կտրել (after)","резать (after)","phrasal_verb","B1","Learners should notice how ""cut after"" changes meaning in context."
"cut along","կտրել (along)","резать (along)","phrasal_verb","B1","Learners should notice how ""cut along"" changes meaning in context."
"cut apart","կտրել (apart)","резать (apart)","phrasal_verb","B1","Learners should notice how ""cut apart"" changes meaning in context."
"cut around","կտրել (around)","резать (around)","phrasal_verb","B1","Learners should notice how ""cut around"" changes meaning in context."
"cut aside","կտրել (aside)","резать (aside)","phrasal_verb","B1","Learners should notice how ""cut aside"" changes meaning in context."
"cut away","կտրել (հեռու, դեն նետել)","резать (прочь)","phrasal_verb","B1","Learners should notice how ""cut away"" changes meaning in context."
"cut back","կտրել (ետ, պատասխանել)","резать (назад)","phrasal_verb","B1","Learners should notice how ""cut back"" changes meaning in context."
"cut by","կտրել (by)","резать (by)","phrasal_verb","B1","Learners should notice how ""cut by"" changes meaning in context."
"cut down","կտրել (ներքև, գրի առնել)","резать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""cut down"" changes meaning in context."
"cut for","կտրել (for)","резать (for)","phrasal_verb","B1","Learners should notice how ""cut for"" changes meaning in context."
"cut forward","կտրել (forward)","резать (forward)","phrasal_verb","B1","Learners should notice how ""cut forward"" changes meaning in context."
"cut in","կտրել (ներս, հանձնել)","резать (внутрь)","phrasal_verb","B1","Learners should notice how ""cut in"" changes meaning in context."
"cut on","կտրել (շարունակ, միացնել)","резать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""cut on"" changes meaning in context."
"cut out","կտրել (դուրս, ամբողջությամբ)","резать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""cut out"" changes meaning in context."
"cut over","կտրել (վրայով, վերանայել)","резать (через, заново)","phrasal_verb","B1","Learners should notice how ""cut over"" changes meaning in context."
"cut through","կտրել (մինչև վերջ)","резать (насквозь)","phrasal_verb","B1","Learners should notice how ""cut through"" changes meaning in context."
"cut together","կտրել (together)","резать (together)","phrasal_verb","B1","Learners should notice how ""cut together"" changes meaning in context."
"cut under","կտրել (under)","резать (under)","phrasal_verb","B1","Learners should notice how ""cut under"" changes meaning in context."
"cut up","կտրել (վեր, ավարտել, ավելացնել)","резать (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""cut up"" changes meaning in context."
"fall about","ընկնել (about)","падать (about)","phrasal_verb","B1","Learners should notice how ""fall about"" changes meaning in context."
"fall across","ընկնել (across)","падать (across)","phrasal_verb","B1","Learners should notice how ""fall across"" changes meaning in context."
"fall after","ընկնել (after)","падать (after)","phrasal_verb","B1","Learners should notice how ""fall after"" changes meaning in context."
"fall along","ընկնել (along)","падать (along)","phrasal_verb","B1","Learners should notice how ""fall along"" changes meaning in context."
"fall around","ընկնել (around)","падать (around)","phrasal_verb","B1","Learners should notice how ""fall around"" changes meaning in context."
"fall aside","ընկնել (aside)","падать (aside)","phrasal_verb","B1","Learners should notice how ""fall aside"" changes meaning in context."
"fall away","ընկնել (հեռու, դեն նետել)","падать (прочь)","phrasal_verb","B1","Learners should notice how ""fall away"" changes meaning in context."
"fall back","ընկնել (ետ, պատասխանել)","падать (назад)","phrasal_verb","B1","Learners should notice how ""fall back"" changes meaning in context."
"fall by","ընկնել (by)","падать (by)","phrasal_verb","B1","Learners should notice how ""fall by"" changes meaning in context."
"fall down","ընկնել (ներքև, գրի առնել)","падать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""fall down"" changes meaning in context."
"fall forward","ընկնել (forward)","падать (forward)","phrasal_verb","B1","Learners should notice how ""fall forward"" changes meaning in context."
"fall in","ընկնել (ներս, հանձնել)","падать (внутрь)","phrasal_verb","B1","Learners should notice how ""fall in"" changes meaning in context."
"fall off","ընկնել (անց, անջատել)","падать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""fall off"" changes meaning in context."
"fall on","ընկնել (շարունակ, միացնել)","падать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""fall on"" changes meaning in context."
"fall over","ընկնել (վրայով, վերանայել)","падать (через, заново)","phrasal_verb","B1","Learners should notice how ""fall over"" changes meaning in context."
"fall through","ընկնել (մինչև վերջ)","падать (насквозь)","phrasal_verb","B1","Learners should notice how ""fall through"" changes meaning in context."
"fall together","ընկնել (together)","падать (together)","phrasal_verb","B1","Learners should notice how ""fall together"" changes meaning in context."
"fall under","ընկնել (under)","падать (under)","phrasal_verb","B1","Learners should notice how ""fall under"" changes meaning in context."
"fall up","ընկնել (վեր, ավարտել, ավելացնել)","падать (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""fall up"" changes meaning in context."
"get about","ստանալ (about)","получать (about)","phrasal_verb","B1","Learners should notice how ""get about"" changes meaning in context."
"get across","ստանալ (across)","получать (across)","phrasal_verb","B1","Learners should notice how ""get across"" changes meaning in context."
"get after","ստանալ (after)","получать (after)","phrasal_verb","B1","Learners should notice how ""get after"" changes meaning in context."
"get along","ստանալ (along)","получать (along)","phrasal_verb","B1","Learners should notice how ""get along"" changes meaning in context."
"get apart","ստանալ (apart)","получать (apart)","phrasal_verb","B1","Learners should notice how ""get apart"" changes meaning in context."
"get around","ստանալ (around)","получать (around)","phrasal_verb","B1","Learners should notice how ""get around"" changes meaning in context."
"get aside","ստանալ (aside)","получать (aside)","phrasal_verb","B1","Learners should notice how ""get aside"" changes meaning in context."
"get down","ստանալ (ներքև, գրի առնել)","получать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""get down"" changes meaning in context."
"get for","ստանալ (for)","получать (for)","phrasal_verb","B1","Learners should notice how ""get for"" changes meaning in context."
"get forward","ստանալ (forward)","получать (forward)","phrasal_verb","B1","Learners should notice how ""get forward"" changes meaning in context."
