"word","translation_hy","translation_ru","level","part_of_speech","frequency_rank"
"readers","ընթերցող","референт","B1","noun","2374"
"sugar","շաքար","сахар","B1","noun","2375"
"heaven","երկինք, եթեր","небо","B1","noun","2376"
"intensity","ուժեղություն, լարվածություն","глубина","B1","noun","2377"
"ethnic","ethnic","этнический","B1","noun","2378"
"era","դարագլուխ, դարաշրջան, ժամանակաշրջան","летосчисление","B1","noun","2379"
"properly","ճիշտ, ինչպեսհարկնէ, պատշաճկերպով","путём","B1","adverb","2380"
"gradually","աստիճանաբար, հետզհետե","постепенно","B1","adverb","2381"
"decline","անկում, իջեցում, վատացում","закат","B1","noun","2382"
"biological","կենսաբանական","биологический","B1","adjective","2383"
"naturally","բնականորեն","понятно","B1","adverb","2384"
"narrative","պատմվածք, պատմություն","повесть","B1","noun","2385"
"tables","սեղան","стол","B1","noun","2386"
"dangerous","վտանգավոր, սպառնալից","опасный","B1","adjective","2387"
"raise","բարձրացնել","сформировать","B1","verb","2388"
"grade","աստիճան, կոչում, կարգդաս","марка","B1","noun","2389"
"print","տպել, հրատարակել","печать","B1","verb","2390"
"producing","արտադրանք, արդյունք, բերք","предъявление","B1","verb","2391"
"extra","հավելավճար, լրացուցիչվճար","фигурант","B1","noun","2392"
"farmers","ագարակատեր, ֆերմեր","фермер","B1","noun","2393"
"oxygen","թթվածին","кислород","B1","noun","2394"
"closer","closer","ближе","B1","noun","2395"
"pair","զույգ","пара","B1","noun","2396"
"proof","ապացույց, փաստարկ","доказательство","B1","noun","2397"
"huge","վիթխարի, հսկայական, ահագին","огромный","B1","adjective","2398"
"threat","սպառնալիք","угроза","B1","noun","2399"
"sub","sub","sub","B1","noun","2400"
"mg","mg","mg","B1","noun","2401"
"claimed","պահանջ","требование","B1","verb","2402"
"pictures","նկար, պատկեր","кино","B1","noun","2403"
"stable","կայուն, հաստատուն","конюшня","B1","adjective","2404"
"collective","միատեղ, միացյալ, հավաքական","коллектив","B1","adjective","2405"
"card","քարտ, տոմս","начёсывать","B1","noun","2406"
"vast","լայն, լայնարձակ, հսկայական","огромный","B1","adjective","2407"
"mostly","մեծմասամբ, գլխավորապես","наиболее","B1","adverb","2408"
"host","բազմություն, ամբոխ","хозяин","B1","noun","2409"
"option","ընտրություն, տարբերակ","выбор","B1","noun","2410"
"duties","duties","долг","B1","noun","2411"
"arguments","վեճ, բանավեճ","доказательство","B1","noun","2412"
"fat","ճարպ, յուղ գիրանալուհակումունենալ","жир","B1","noun","2413"
"bay","աշխրգ","губа","B1","noun","2414"
"session","նիստ, խորհրդակցություն","смена","B1","noun","2415"
"electron","ֆիզ","электрон","B1","noun","2416"
"thousands","հազար","тьма","B1","noun","2417"
"thank","thank","благодарить","B1","noun","2418"
"scope","scope","круг","B1","noun","2419"
"younger","younger","меньшой","B1","noun","2420"
"truly","ճշմարտորեն","истинно","B1","adverb","2421"
"matrix","հմկրգ","матрица","B1","noun","2422"
"electronic","ֆիզ","электронный","B1","adjective","2423"
"estimate","գնահատում","расчёт","B1","noun","2424"
"infection","վարակ, վարակում","заражённость","B1","noun","2425"
"pulled","ձգում, ձգանք, ձգողություն","вдёргивать","B1","verb","2426"
"twice","երկուանգամ, կրկնակի, կրկնապատիկ","дважды","B1","adverb","2427"
"listed","ցուցակագրված","крениться","B1","adjective","2428"
"radical","radical","корень","B1","noun","2429"
"heads","գլուխ","начальство","B1","noun","2430"
"appendix","( ) (գրքի) փաստաթղթի/հավելված, լրացումկզմխ","приложение","B1","noun","2431"
"finance","ֆինանսներ","финансировать","B1","noun","2432"
"oral","բանավոր","словесный","B1","adjective","2433"
"replaced","նորիցտեղըդնել","заменить","B1","verb","2434"
"pacific","խաղաղ, խաղաղասեր","тихоокеанский","B1","adjective","2435"
"users","օգտագործող, գործածող","потребитель","B1","noun","2436"
"irish","իռլանդերեն, իռլանդական","ирландский","B1","noun","2437"
"reflected","արտացոլել","отражённый","B1","verb","2438"
"visible","տեսանելի","видимый","B1","adjective","2439"
"valuable","թանկարժեք, էական","ценный","B1","noun","2440"
"dynamic","եռանդուն, շարժուն, ակտիվ","функциональный","B1","adjective","2441"
"intervention","միջամտություն, ինտերվենցիա","вмешательство","B1","noun","2442"
"answers","պատասխան","ответ","B1","noun","2443"
"waste","թափթփուկներ, մնացուկներ","отходы","B1","noun","2444"
"dance","պարել, պարգալ","плясовой","B1","verb","2445"
"neck","կզմխ","гриф","B1","noun","2446"
"examined","քննել","смотреть","B1","verb","2447"
"jack","ծով","валет","B1","noun","2448"
"carbon","քիմ","углерод","B1","noun","2449"
"cooperation","cooperation","cooperation","B1","noun","2450"
"wilson","wilson","wilson","B1","noun","2451"
"silence","անդորրություն, լռություն, լիակատարխաղաղություն","тишина","B1","noun","2452"
"worse","ավելիվատ","худший","B1","noun","2453"
"consequence","հետևանք","следствие","B1","noun","2454"
"exception","բացառություն","исключение","B1","noun","2455"
"ad","մերթվարկության/Տիրոջտարին","объявление","B1","noun","2456"
"translation","թարգմանություն","перевод","B1","noun","2457"
"sensitive","զգայուն, դյուրազգաց","чувствительный","B1","adjective","2458"
"random","պատահականընտրություն","случайный","B1","noun","2459"
"meetings","ժողով, հանդիպում, հանրահավաք","встреча","B1","noun","2460"
"ages","ages","ages","B1","noun","2461"
"mention","հիշատակում, ակնարկ, նշում","упоминание","B1","noun","2462"
"committed","committed","committed","B1","verb","2463"
"stability","կայունություն, հաստատունություն","стабильность","B1","noun","2464"
"dinner","ճաշ","обед","B1","noun","2465"
"organic","հիմնական, սահմանադրական","животный","B1","adjective","2466"
"chapters","գլուխ (գրքի)","глава","B1","noun","2467"
"empty","դատարկ, անբովանդակ","малосодержательный","B1","adjective","2468"
"seeking","փնտրել, որոնել","искать","B1","verb","2469"
"velocity","արագություն","скорость","B1","noun","2470"
"planned","ծրագրված, պլանային","планомерный","B1","adjective","2471"
"wage","աշխատավարձ","wage","B1","noun","2472"
"roles","թատր","роль","B1","noun","2473"
"suffering","տառապանք, տանջանք","страсть","B1","noun","2474"
"ca","ca","ca","B1","noun","2475"
"fifth","հինգերորդ","квинта","B1","number","2476"
"q","q","q","B1","noun","2477"
"thick","հաստ, ստվար","часто","B1","adjective","2478"
"implementation","կատարում, իրականացում, իրագործում","выполнение","B1","noun","2479"
"options","ընտրություն, տարբերակ","выбор","B1","noun","2480"
"quoted","մեջբերում, ցիտատ","сослаться","B1","verb","2481"
"sharp","երժշ","ровно","B1","noun","2482"
"files","խարտոց","дефилировать","B1","noun","2483"
"fighting","մարտ, ճակատամարտ, կռիվ","дело","B1","noun","2484"
"conventional","ավանդական, հանրաճանաչ, բոլորիկողմիցընդունված","условный","B1","adjective","2485"
"examine","քննել","смотреть","B1","verb","2486"
"perception","ընկալում, ճանաչում, իմացություն","восприятие","B1","noun","2487"
"lands","երկիր, ցամաք, հող","сторона","B1","noun","2488"
"canadian","կանադացի, կանադական","канадец","B1","noun","2489"
"dominant","իշխող, տիրապետող","доминанта","B1","adjective","2490"
"managers","կառավարիչ, վարիչ, ղեկավար","заведующий","B1","noun","2491"
"atmosphere","մթնոլորտ, օդ","атмосфера","B1","noun","2492"
"weather","եղանակ","погода","B1","noun","2493"
"devices","սարք, հարմարանք","приём","B1","noun","2494"
"ended","վերջ, վախճան","конец","B1","verb","2495"
"degrees","աստիճան","степень","B1","noun","2496"
"composed","զուսպ, հանգիստ, մտահավաք","спокойный","B1","adjective","2497"
"route","երթուղի, ուղի, ընթացք","маршрут","B1","noun","2498"
"depending","կախվածլինել, կախումունենալ","обусловливаться","B1","verb","2499"
"theme","թեմա, նյութ (նաև՝երժշ","тема","B1","noun","2500"
"worker","աշխատող, բանվոր","работник","B1","noun","2501"
"painting","նկար, զարդանկար","картина","B1","noun","2502"
"revenue","եկամուտ","revenue","B1","noun","2503"
"op","op","op","B1","noun","2504"
"sky","երկինք","небо","B1","noun","2505"
"birds","թռչուն","пернатые","B1","noun","2506"
"telling","(վերա)պատմում","сказать","B1","noun","2507"
"secure","հուսալի, ապահով, անվտանգ","подстраховать","B1","adjective","2508"
"spend","ծախսել","провести","B1","verb","2509"
"statistical","վիճակագրական","statistical","B1","adjective","2510"
"originally","իծնե, ծագումով, սկզբնապես","первоначально","B1","adverb","2511"
"assigned","նշանակել","положить","B1","verb","2512"
"jones","jones","jones","B1","noun","2513"
"dna","dna","dna","B1","noun","2514"
"radiation","ճառագայթում, ճաճանչում","излучение","B1","noun","2515"
"entitled","վերնագրել, անուն/կոչումտալ","озаглавить","B1","verb","2516"
"constitutional","սահմանադրական","конституциональный","B1","noun","2517"
"communications","communications","связь","B1","noun","2518"
"fashion","ձև, կերպ, եղանակ","мода","B1","noun","2519"
"efficient","գործուն, արդյունավետ","практичность","B1","adjective","2520"
"particles","ֆիզ","тень","B1","noun","2521"
"quick","զգայունտեղ","живо","B1","noun","2522"
"transformation","ձևափոխություն, կերպարանափոխություն","превращение","B1","noun","2523"
"effectively","ռզմ","эффектный","B1","adverb","2524"
"thereby","thereby","thereby","B1","noun","2525"
"programme","ծրագրել, ծրագրավորել","загружённость","B1","verb","2526"
"enterprise","ձեռնարկություն","предприятие","B1","noun","2527"
"sounds","հնչյուն, ձայն, աղմուկ","шум","B1","noun","2528"
"quiet","հանգիստ, անդորր, լռություն","тишина","B1","noun","2529"
"ed.","ed.","ed.","B1","noun","2530"
"ray","ճառագայթ","луч","B1","noun","2531"
"controls","կառավարել, ղեկավարել","управление","B1","noun","2532"
"instructions","instructions","указание","B1","noun","2533"
"boat","նավակ, նավ","лодка","B1","noun","2534"
"describes","նկարագրել, պատկերել, բնութագրել","описать","B1","noun","2535"
"recommended","հանձնարարել, խորհուրդտալ, առաջադրել","рекомендовать","B1","verb","2536"
"separation","բաժանում, անջատում","отделение","B1","noun","2537"
"mountains","լեռ, սար","гора","B1","noun","2538"
"regime","վարչակարգ, կարգ","режим","B1","noun","2539"
"grace","նրբագեղություն, վայելչագեղություն","милость","B1","noun","2540"
"islands","islands","островной","B1","noun","2541"
"afternoon","ցերեկ, կեսօրիցհետո","день","B1","noun","2542"
"customer","գնորդ, հաճախորդ, պատվիրատու","клиент","B1","noun","2543"
"traffic","երթևեկություն","движение","B1","noun","2544"
"spain","spain","Испания","B1","noun","2545"
"settled","բնակեցնել, գաղութացնել","устойчивый","B1","verb","2546"
"formula","բանաձև","формула","B1","noun","2547"
"instruments","գործիք, սարք, միջոց","приборный","B1","noun","2548"
"mechanisms","mechanisms","машина","B1","noun","2549"
"texts","տեքստ","текстовой","B1","noun","2550"
"vertical","ուղղահայացդիրք/ գիծ","вертикальный","B1","noun","2551"
"seat","(նստելու) տեղ","сиденье","B1","noun","2552"
"refers","հղել, վերաբերել","направить","B1","noun","2553"
"plain","պարզ, ակներև, հասկանալի","невидный","B1","adjective","2554"
"acute","սուր, ուժեղ","острый","B1","adjective","2555"
"spot","բիծ, բծիկ","место","B1","noun","2556"
"stands","տեղ","стоянка","B1","noun","2557"
"grounds","գետին","данные","B1","noun","2558"
"internet","համացանց, ինտերնետ","internet","B1","noun","2559"
"drink","խմիչք, խմելիք, ըմպելիք","глоток","B1","noun","2560"
"precisely","ճշգրիտ","точно","B1","adverb","2561"
"bright","պայծառ, վառ","разбитной","B1","adjective","2562"
"promise","խոստում","пообещаться","B1","noun","2563"
"decrease","նվազում, պակասեցում","уменьшение","B1","noun","2564"
"sec","sec","sec","B1","noun","2565"
"vice","արատ","тиски","B1","noun","2566"
"strike","հարված (նաևռազմական)","постичь","B1","noun","2567"
"creative","ստեղծարար, ստեղծագործական, ստեղծագործ","творческий","B1","adjective","2568"
"artist","նկարիչ","художник","B1","noun","2569"
"necessity","անհրաժեշտություն, կարիք","необходимость","B1","noun","2570"
"induced","դրդել, համոզել","уговаривать","B1","verb","2571"
"equilibrium","equilibrium","равновесие","B1","noun","2572"
"illustrated","լուսաբանել (օրինակներով)","иллюстрированный","B1","verb","2573"
"nursing","խնամք","уход","B1","noun","2574"
"representatives","representatives","уполномоченный","B1","noun","2575"
"gets","gets","gets","B1","noun","2576"
"imagine","երևակայել, պատկերացնել","представить","B1","verb","2577"
"equations","հավասարեցում","уравнение","B1","noun","2578"
"stream","գետ, գետակ, վտակ","река","B1","noun","2579"
"smile","ժպիտ","улыбка","B1","noun","2580"
"hypothesis","hypothesis","гипотеза","B1","noun","2581"
"concluded","եզրափակել, վերջացնել","вывести","B1","verb","2582"
"rising","վերկենալը, ոտքիելնելը","восход","B1","noun","2583"
"classification","դասակարգում, կլասիֆիկացիա","группировка","B1","noun","2584"
"ships","(ապրանք) բարձել, փոխադրել, ուղարկել","судовой","B1","noun","2585"
"asking","հարցնել","спросить","B1","verb","2586"
"flight","թռիչք","полёт","B1","noun","2587"
"cognitive","իմացական","познавательный","B1","adjective","2588"
"anxiety","anxiety","тревога","B1","noun","2589"
"linked","օղակ, կապ","ссылка","B1","verb","2590"
"row","շարք, կարգ","гвалт","B1","noun","2591"
"sheet","սավան","простыня","B1","noun","2592"
"distributed","բաշխել, բաժանել","выдать","B1","verb","2593"
"owned","անձնական, սեփական","признать","B1","verb","2594"
"revolutionary","հեղափոխական","революционер","B1","adjective","2595"
"clothes","հագուստ, զգեստ","одёжа","B1","noun","2596"
"occasionally","պատահաբար, երբեմն, հազվադեպ","изредка","B1","adverb","2597"
"se","se","se","B1","noun","2598"
"magazine","ամսագիր, հանդես, ժուռնալ","магазин","B1","noun","2599"
"commitment","պարտավորություն","обязательство","B1","noun","2600"
"depend","կախվածլինել, կախումունենալ","обусловливаться","B1","verb","2601"
"bond","կապ","связь","B1","noun","2602"
"click","չխկոց","щелчок","B1","noun","2603"
"bible","Աստվածաշունչ","библия","B1","noun","2604"
"newspaper","լրագիր","газета","B1","noun","2605"
"lee","քամուցպաշտպանվածկողմ","подветренный","B1","noun","2606"
"participants","մասնակից, մասնակցող","участник","B1","noun","2607"
"ultimately","վերջինհաշվով, վերջիվերջո","конечный","B1","adverb","2608"
"brothers","եղբայր","брат","B1","noun","2609"
"abuse","հայհոյանք, վիրավորանք","ругань","B1","noun","2610"
"del","del","del","B1","noun","2611"
"faced","դեմք, երես","личной","B1","verb","2612"
"domain","տիրապետություն, տիրույթ","domain","B1","noun","2613"
"border","սահմանակիցլինել","край","B1","verb","2614"
"afraid","վախեցած","afraid","B1","adjective","2615"
"flowers","ծաղիկ","цветок","B1","noun","2616"
"informed","տեղյակ, իրազեկ","информированный","B1","adjective","2617"
"customers","գնորդ, հաճախորդ, պատվիրատու","клиентура","B1","noun","2618"
"tube","խողովակ","трубка","B1","noun","2619"
"commerce","առևտուր","торговля","B1","noun","2620"
"calling","կոչում, մասնագիտություն, զբաղմունք","заход","B1","noun","2621"
"fruit","fruit","плод","B1","noun","2622"
"diseases","հիվանդություն, ախտ","болезнь","B1","noun","2623"
"errors","սխալ, մոլորություն","ошибка","B1","noun","2624"
"recovery","առողջացում, ապաքինում","поправка","B1","noun","2625"
"enjoy","հաճույքզգալ, բավականությունստանալ, վայելել","нравиться","B1","verb","2626"
"determining","որոշել, սահմանել","решить","B1","verb","2627"
"continues","շարունակել","продолжать","B1","noun","2628"
"wonder","wonder","чудо","B1","noun","2629"
"trip","կարճատևուղևորություն/ճամփորդություն","поездка","B1","noun","2630"
"involvement","ներգրավել, ներքաշել","прикосновенность","B1","noun","2631"
"armed","բազուկ, թև","вооружённый","B1","verb","2632"
"comments","մեկնաբանություն, լուսաբանություն","отзыв","B1","noun","2633"
"walking","քայլելը, ոտքովգնալգալը","ходьба","B1","noun","2634"
"strategic","strategic","военно-экономический","B1","noun","2635"
"outcome","արդյունք, հետևանք","результат","B1","noun","2636"
"legs","legs","legs","B1","noun","2637"
"berlin","berlin","Берлин","B1","noun","2638"
"exposed","լսնկ","незащищённый","B1","adjective","2639"
"partner","մասնակից","дама","B1","noun","2640"
"publishing","հրատարակչականգործ, հրատարակում","книгоиздательский","B1","adjective","2641"
"logical","տրամաբանական, տրամաբանության","логический","B1","adjective","2642"
"vary","փոխ(վ)ել","изменить","B1","verb","2643"
"begun","սկսել","начать","B1","noun","2644"
"abstract","համառոտշարադրանք, ամփոփում","реферативный","B1","noun","2645"
"finds","գտնել, հայտնաբերել","находка","B1","noun","2646"
"architecture","ճարտարապետություն, կառուցվածք, շենք","архитектура","B1","noun","2647"
"conscious","գիտակցող, գիտակից","сознательный","B1","adjective","2648"
"rooms","սենյակ","место","B1","noun","2649"
"returns","վերադարձ, փոխհատուցում, պատասխան","возвращение","B1","noun","2650"
"prayer","prayer","молитва","B1","noun","2651"
"generated","ծնունդտալ, առաջացնել, ստեղծել","образоваться","B1","verb","2652"
"whenever","երբէլ, որ","whenever","B1","adverb","2653"
"tells","ասել","сказать","B1","noun","2654"
"directions","ուղղություն","указание","B1","noun","2655"
"rarely","ոչհաճախ, ուշ֊ուշ","редко","B1","adverb","2656"
"gray","gray","gray","B1","noun","2657"
"measurements","measurements","измерение","B1","noun","2658"
"nerve","կզմխ","нерв","B1","noun","2659"
"gene","կենս","ген","B1","noun","2660"
"discovery","հայտնագործություն, գյուտ","открытие","B1","noun","2661"
"isolated","առանձնացած, մեկուսացած","единичный","B1","adjective","2662"
"theatre","theatre","операционная","B1","noun","2663"
"wages","աշխատավարձ","содержание","B1","noun","2664"
"charged","լիցք, բեռնավորում","обвинение","B1","verb","2665"
"wine","wine","вино","B1","noun","2666"
"elected","ընտրել","избранник","B1","verb","2667"
"rain","անձրև","дождить","B1","noun","2668"
"awareness","իրազեկ, տեղյակ","awareness","B1","noun","2669"
"illness","հիվանդություն","болезнь","B1","noun","2670"
"phenomenon","phenomenon","явление","B1","noun","2671"
"considerations","քննում, քննարկում","внимание","B1","noun","2672"
"ocean","օվկիանոս","море","B1","noun","2673"
"binding","խսկց","переплёт","B1","verb","2674"
"ma","ma","тётка","B1","noun","2675"
"involve","ներգրավել, ներքաշել","втянуть","B1","verb","2676"
"sin","մեղք, մեղանչում","грех","B1","noun","2677"
"easier","easier","проще","B1","noun","2678"
"boundary","սահման","черта","B1","noun","2679"
"cited","վկայակոչել, մեջբերել","привести","B1","verb","2680"
"characterized","բնութագրել","характеризовать","B1","verb","2681"
"kill","սպանել","убить","B1","verb","2682"
"journey","journey","дорога","B1","noun","2683"
"underlying","հիմնական","подоснова","B1","adjective","2684"
"coal","ածուխ, քարածուխ","бункероваться","B1","noun","2685"
"aside","միկողմ/կողմում, առանձնացած","aside","B1","adverb","2686"
"partial","մասնակի, ոչլրիվ, մասնավոր","частичный","B1","adjective","2687"
"organizational","organizational","organizational","B1","noun","2688"
"publications","տպագրում, հրապարակում, հրատարակություն հրատարակվածգործեր","орган","B1","noun","2689"
"senior","մեծ","староста","B1","noun","2690"
"mutual","փոխադարձ, երկկողմանի, ընդհանուր","общий","B1","adjective","2691"
"coffee","սուրճ","кофе","B1","noun","2692"
"listen","լսել, ունկնդրել","слушать","B1","verb","2693"
"arrangement","կարգավորում, դասավորում, համակարգում","устройство","B1","noun","2694"
"conclusions","եզրափակում, ամփոփում, հետևություն","решение","B1","noun","2695"
"alcohol","ալկոհոլ, սպիրտ","спирт","B1","noun","2696"
"accounting","հաշվառում, հաշվառուլինելը","счетоводство","B1","noun","2697"
"beings","կեցություն, կյանք, էակ","существо","B1","noun","2698"
"aim","նպատակ, մտադրություն, ձգտում","цель","B1","noun","2699"
"ireland","ireland","ирландия","B1","noun","2700"
"considering","հաշվիառնելով, նկատիունենալով","думать","B1","preposition","2701"
"excess","ավելցուկ, հավելորդ","излишек","B1","noun","2702"
"copyright","copyright","copyright","B1","noun","2703"
"payments","վճարում, վճար","оплата","B1","noun","2704"
"gift","նվեր, ընծա","подарок","B1","noun","2705"
"realize","գիտակցել, հասկանալ","понять","B1","verb","2706"
"contributions","աջակցություն, օժանդակություն","сотрудничество","B1","noun","2707"
"permit","թույլտվություն, անցագիր","разрешение","B1","noun","2708"
"survival","վերապրելը, կենդանիմնալը","выживание","B1","noun","2709"
"compare","համեմատություն, համեմատում","сравнивать","B1","noun","2710"
"accurate","ճշգրիտ, ճիշտ","точный","B1","adjective","2711"
"fill","կշտություն, կշտացածլինելը","заставлять","B1","noun","2712"
"magnetic","մագնիսի, մագնիսական","магнитный","B1","adjective","2713"
"beliefs","հավատ, դավանանք","вера","B1","noun","2714"
"spite","չարություն, ոխ, քեն","злость","B1","noun","2715"
"delivery","հանձնում, փրկում, փրկություն","роды","B1","noun","2716"
"accompanied","accompanied","сопровождать","B1","verb","2717"
"wisdom","wisdom","мудрость","B1","noun","2718"
"childhood","մանկություն","детство","B1","noun","2719"
"edited","խմբագրել, տպագրությանպատրաստել","редактировать","B1","verb","2720"
"moon","լուսին","месяц","B1","noun","2721"
"league","միություն, լիգա","союз","B1","noun","2722"
"uniform","համազգեստ","форма","B1","noun","2723"
"bearing","պտղաբերություն","опора","B1","noun","2724"
"discipline","կարգապահություն, կարգ","дисциплина","B1","noun","2725"
"readily","պատրաստակամորեն, սիրով","охотно","B1","adverb","2726"
"acceptance","ընդունում, հավանություն","принятие","B1","noun","2727"
"amendment","բարեփոխում, բարելավում","поправка","B1","noun","2728"
"estimates","գնահատում","расчёт","B1","noun","2729"
"variations","փոփոխություն","колебание","B1","noun","2730"
"skill","վարպետություն, հմտություն","искусство","B1","noun","2731"
"fuel","վառելիք, վառելանյութ","горючее","B1","noun","2732"
"tension","լարում, լարվածություն","принуждённость","B1","noun","2733"
"signed","նշան","след","B1","verb","2734"
"presents","ներկաժամանակ","подарок","B1","noun","2735"
"taste","համ","вкус","B1","noun","2736"
"teach","սովորեցնել, ուսուցանել","учить","B1","verb","2737"
"founded","հիմնավորված","отливной","B1","adjective","2738"
"dimensions","չափ","размер","B1","noun","2739"
"track","հետք","путь","B1","noun","2740"
"williams","williams","williams","B1","noun","2741"
"conservative","conservative","консерватор","B1","noun","2742"
"deeply","խոր, խորապես","глубоко","B1","adverb","2743"
"turns","պտույտ, դարձ","обёртывать","B1","noun","2744"
"instances","օրինակ, դեպք","пример","B1","noun","2745"
"axis","առանցք, լիսեռ","ось","B1","noun","2746"
"waves","ալիք","волновой","B1","noun","2747"
"frequent","հաճախակի, հաճախկրկնվող","частый","B1","adjective","2748"
"destruction","կործանում, ավերում, քայքայում","гибель","B1","noun","2749"
"shares","բաժանել, բաշխել","паевой","B1","noun","2750"
"universe","տիեզերք, ամբողջաշխարհը","вселенная","B1","noun","2751"
"cup","գավաթ, թաս","крюшон","B1","noun","2752"
"peak","գագաթ, լեռնագագաթ","склёвывать","B1","noun","2753"
"tom","պստիկ, ճստիկ, մատնաչափիկ","tom","B1","noun","2754"
"films","նրբամաշկ","фильм","B1","noun","2755"
"philadelphia","philadelphia","philadelphia","B1","noun","2756"
"currently","համաձայնվերջինհաղորդումներին","общеупотребительный","B1","adverb","2757"
"identical","նույն, ճիշտնույն, նույնատեսակ","одинаковый","B1","adjective","2758"
"membership","անդամություն, անդամակցություն, անդամներիկազմը/ թիվը","состав","B1","noun","2759"
"quarter","քառորդ, քառորդամաս","квартал","B1","noun","2760"
"voltage","էլ","напряжение","B1","noun","2761"
"sunday","կիրակի","воскресенье","B1","noun","2762"
"transportation","փոխադրում, տեղափոխում (փոխադրամիջոցով)","транспорт","B1","noun","2763"
"rice","բրինձ","рис","B1","noun","2764"
"influenced","ազդեցություն, ներգործություն","впечатление","B1","verb","2765"
"unfortunately","դժբախտ, անհաջողակ","несчастный","B1","adverb","2766"
"satisfaction","բավարարություն, գոհացում","удовлетворённость","B1","noun","2767"
"happens","պատահել, տեղիունենալ","довестись","B1","noun","2768"
"advantages","առավելություն","выгодность","B1","noun","2769"
"separated","առանձին, անջատ","оторвать","B1","verb","2770"
"minority","minority","меньшинство","B1","noun","2771"
"disorders","անկարգություն, խառնաշփոթ","расстройство","B1","noun","2772"
"victory","հաղթանակ","победа","B1","noun","2773"
"charges","լիցք, բեռնավորում","обвинение","B1","noun","2774"
"discourse","խոսք, զրույց","речь","B1","noun","2775"
"chairman","նախագահ","председательствующий","B1","noun","2776"
"horses","ձի, երիվար, հովատակ","лошадь","B1","noun","2777"
"prison","բանտ","тюрьма","B1","noun","2778"
"ultimate","վերջին, վերջնական","конечный","B1","adjective","2779"
"socialist","socialist","социалист","B1","noun","2780"
"streets","փողոց","улица","B1","noun","2781"
"shop","խանութ, կրպակ","магазин","B1","noun","2782"
"membrane","կզմխ","оболочка","B1","noun","2783"
"cultures","մշակույթ","просвещённость","B1","noun","2784"
"cf","cf","cf","B1","noun","2785"
"developments","զարգացում, աճ","развёртка","B1","noun","2786"
"vital","կենսական, էական, կարևորագույն","жизнеутверждающий","B1","adjective","2787"
"remembered","հիշել, մտաբերել","помнить","B1","verb","2788"
"continuing","շարունակել","продолжать","B1","verb","2789"
"genetic","genetic","генетический","B1","noun","2790"
"putting","դնել","установка","B1","verb","2791"
"comprehensive","բազմակողմանի, մանրամասն, սպառիչ","исчерпывающий","B1","adjective","2792"
"presentation","հանձնում","представление","B1","noun","2793"
"transmission","փոխանցում, ուղարկում","передача","B1","noun","2794"
"watched","ժամացույց","часовой","B1","verb","2795"
"towns","քաղաք","город","B1","noun","2796"
"sand","ավազ","песок","B1","noun","2797"
"attempted","փորձ, արարք","попытка","B1","verb","2798"
"thanks","շնորհակալություն","спасибо","B1","noun","2799"
"il","il","il","B1","noun","2800"
"chronic","քրոնիկական, շարունակական, հարատև","хронический","B1","adjective","2801"
"dropped","dropped","dropped","B1","verb","2802"
"handle","կոթ, բռնակ","ручка","B1","noun","2803"
"resulted","արդյունք, հետևանք","результат","B1","verb","2804"
"driven","driven","ведомый","B1","noun","2805"
"favor","favor","просьба","B1","noun","2806"
"teeth","ատամներ","teeth","B1","noun","2807"
"counter","վաճառասեղան","наперекор","B1","noun","2808"
"supplies","մատակարարել","припасы","B1","noun","2809"
"homes","տուն","домой","B1","noun","2810"
"surgery","վիրաբուժություն, վիրաբույժիընդունարան","медпункт","B1","noun","2811"
"kitchen","խոհանոց","кухня","B1","noun","2812"
"dramatic","դրամատիկական, դրամատիզմովլի","драматический","B1","adjective","2813"
"holds","գրավում, զավթում, հափշտակում / միբանձեռնարկել","трюм","B1","noun","2814"
"operate","գործել, աշխատել","работать","B1","verb","2815"
"bringing","բերել","приведение","B1","verb","2816"
"respond","պատասխանել","ответить","B1","verb","2817"
"weapons","զենք","оружие","B1","noun","2818"
"roots","արմատ","коренья","B1","noun","2819"
"syndrome","syndrome","синдром","B1","noun","2820"
"snow","ձյուն","снег","B1","noun","2821"
"interior","interior","глубина","B1","noun","2822"
"distinguished","աչքիընկնող, ականավոր, հռչակավոր","видный","B1","adjective","2823"
"receiving","ընդունող","радиоприёмный","B1","adjective","2824"
"surely","անշուշտ, վստահորեն, անկասկած","конечно","B1","adverb","2825"
"gross","(չափ) գրոս, 12 դյուժին","валовой","B1","noun","2826"
"constructed","կառուցել, շինել, ստեղծել","строить","B1","verb","2827"
"breath","շունչ","дух","B1","noun","2828"
"drew","drew","drew","B1","noun","2829"
"bureau","գրասեղան","контора","B1","noun","2830"
"engine","(շոգե)մեքենա","машина","B1","noun","2831"
"occupied","զբաղեցնել, վարձակալել","занимать","B1","verb","2832"
"ann","ann","ann","B1","noun","2833"
"waters","թրջել, թացացնել","воды","B1","noun","2834"
"defendant","իրավ","подсудимый","B1","noun","2835"
"networks","ցանց, վանդակացանց","сеть","B1","noun","2836"
"preferred","preferred","preferred","B1","verb","2837"
"rational","խելամիտ, բանական, ռացիոնալ","рациональный","B1","adjective","2838"
"mixture","խառնուրդ, խառնում","смесь","B1","noun","2839"
"perceived","նկատել","постичь","B1","verb","2840"
"advertising","հայտարարությունտալ, հայտարարել","реклама","B1","verb","2841"
"win","հաղթանակ (խաղում, մրցույթում), շահում","выиграть","B1","noun","2842"
"viewed","տեսարան, բնապատկեր","вид","B1","verb","2843"
